parameter,value,CV,se_sa,rse_sa
k1_pop,0.133253625178335,,0.00533103347750011,4.00066675136646
beta_k1_Infection_Late,-0.0738995199718814,,0.0435979007022046,58.9961893105578
beta_k1_Infection_Uninfected,0.0896973707252942,,0.0423927797136616,47.2620093218708
k2_pop,0.00613582232743713,,0.000692652038776086,11.288658664036
beta_k2__1st_Booster_vaccine_type_Pfizer,0.196138945248412,,0.139585793967777,71.1667913738345
k3_pop,0.0689988362209612,,0.000917571382543937,1.32983602738678
beta_k3_Gender_Male,-0.103544502450621,,0.0107534298830649,10.3853218940263
beta_k3_Infection_Late,0.710943226328303,,0.0118665812644452,1.66913205232023
beta_k3_Infection_Uninfected,1.88786192664255,,0.0123218517808292,0.652688186934457
beta_k3_age_cat___60,0.213319102170758,,0.00811980662154692,3.80641327425388
k4_pop,0.00406526848992906,,0.000615885080466018,15.1499238486156
beta_k4_Gender_Male,-0.605212724147508,,0.177523641931861,29.3324371495853
A0_pop,1.07445808906837,,0.0949076098952219,8.83306765157433
omega_k1,0.212305669293364,21.4720637314095,0.0330662396607383,15.5748265087765
omega_k2,0.507958382904158,54.2555923723119,0.067137393335389,13.2171051005288
omega_k3,0.00694524236729631,0.694532612150028,nan,nan
omega_k4,0.189963017057316,19.1689719757307,0.0550621831819626,28.9857384005168
omega_A0,0.66883572749795,75.1097825204486,0.0745655770497026,11.1485636882236
corr_k1_A0,-0.842756834434139,,0.0622101719387055,7.38174635871994
b,0.400112395784257,,0.0236876723504075,5.92025455846663
