k1_pop,1,-0.255662,-0.350342,0.066728,0.0109833,0.216093,-0.234598,0.00887278,0.0431233,-0.0944394,-0.0565132,-0.128324,-0.843245,-0.0985945,nan,0.0113015,0.0715976,nan,0.118231,-0.00996396,-0.0723468
beta_k1_Infection_Late,-0.255662,1,0.425787,0.00548325,0.0493989,0.0300792,-0.154187,0.0538068,-0.0396057,0.0678694,0.0628074,0.0387087,-0.0531405,-0.149436,nan,-0.0273535,0.0360295,nan,-0.0163939,-0.0427205,0.0185219
beta_k1_Infection_Uninfected,-0.350342,0.425787,1,0.070128,-0.0281224,-0.0259265,-0.0271182,0.045589,-0.102438,-0.0734537,0.0549916,0.000132508,0.0465016,0.00107001,nan,-0.101506,0.0192339,nan,-0.0172768,-0.0429378,0.0540969
k2_pop,0.066728,0.00548325,0.070128,1,-0.746308,0.0129943,-0.0522757,0.089621,-0.151132,-0.121878,0.0725195,-0.193451,0.0224124,0.0578303,nan,-0.394419,-0.0420301,nan,0.0612133,-0.239519,0.18321
beta_k2__1st_Booster_vaccine_type_Pfizer,0.0109833,0.0493989,-0.0281224,-0.746308,1,0.0368646,-0.0801511,-0.0137944,0.065967,0.0725751,-0.0291886,0.105495,-0.0131968,-0.0964094,nan,0.188458,0.0542605,nan,-0.0617342,0.221152,-0.192914
k3_pop,0.216093,0.0300792,-0.0259265,0.0129943,0.0368646,1,-0.400563,-0.320516,-0.159684,-0.248155,-0.559792,-0.12622,-0.166882,-0.186377,nan,0.105581,0.222292,nan,0.0471705,0.00722006,-0.0683546
beta_k3_Gender_Male,-0.234598,-0.154187,-0.0271182,-0.0522757,-0.0801511,-0.400563,1,-0.136614,0.114346,0.050844,-0.224781,0.168808,0.150349,0.273809,nan,-0.035337,-0.360194,nan,0.00290317,-0.0405632,0.128584
beta_k3_Infection_Late,0.00887278,0.0538068,0.045589,0.089621,-0.0137944,-0.320516,-0.136614,1,0.360731,-0.330572,0.0948696,-0.258224,0.0356807,-0.0635286,nan,-0.0596377,0.0487325,nan,-0.0743053,-0.0450322,0.00331905
beta_k3_Infection_Uninfected,0.0431233,-0.0396057,-0.102438,-0.151132,0.065967,-0.159684,0.114346,0.360731,1,-0.204292,-0.293285,0.0154627,-0.065214,-0.0436913,nan,0.215347,0.057993,nan,-0.0706458,0.125873,-0.138639
beta_k3__1st_Booster_vaccine_type_Pfizer,-0.0944394,0.0678694,-0.0734537,-0.121878,0.0725751,-0.248155,0.050844,-0.330572,-0.204292,1,0.0994718,0.364156,0.0398185,0.0600371,nan,0.112793,-0.145421,nan,0.0450286,0.130754,-0.0924469
beta_k3_age_cat___60,-0.0565132,0.0628074,0.0549916,0.0725195,-0.0291886,-0.559792,-0.224781,0.0948696,-0.293285,0.0994718,1,0.0105481,0.075328,0.00754022,nan,-0.131169,0.104671,nan,-0.0411735,-0.00487459,0.0168058
k4_pop,-0.128324,0.0387087,0.000132508,-0.193451,0.105495,-0.12622,0.168808,-0.258224,0.0154627,0.364156,0.0105481,1,0.0270642,0.110498,nan,0.192021,0.200274,nan,0.0851898,0.268147,-0.166208
A0_pop,-0.843245,-0.0531405,0.0465016,0.0224124,-0.0131968,-0.166882,0.150349,0.0356807,-0.065214,0.0398185,0.075328,0.0270642,1,-0.00827894,nan,-0.00884522,-0.0659851,nan,-0.193122,0.0967868,-0.0418545
omega_k1,-0.0985945,-0.149436,0.00107001,0.0578303,-0.0964094,-0.186377,0.273809,-0.0635286,-0.0436913,0.0600371,0.00754022,0.110498,-0.00827894,1,nan,-0.168546,-0.106664,nan,0.759188,-0.209196,0.169508
corr_k1_A0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_k2,0.0113015,-0.0273535,-0.101506,-0.394419,0.188458,0.105581,-0.035337,-0.0596377,0.215347,0.112793,-0.131169,0.192021,-0.00884522,-0.168546,nan,1,0.118164,nan,-0.118622,0.556299,-0.52271
omega_k3,0.0715976,0.0360295,0.0192339,-0.0420301,0.0542605,0.222292,-0.360194,0.0487325,0.057993,-0.145421,0.104671,0.200274,-0.0659851,-0.106664,nan,0.118164,1,nan,-0.0126811,0.105008,-0.10918
omega_k4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_A0,0.118231,-0.0163939,-0.0172768,0.0612133,-0.0617342,0.0471705,0.00290317,-0.0743053,-0.0706458,0.0450286,-0.0411735,0.0851898,-0.193122,0.759188,nan,-0.118622,-0.0126811,nan,1,-0.224906,0.142689
a,-0.00996396,-0.0427205,-0.0429378,-0.239519,0.221152,0.00722006,-0.0405632,-0.0450322,0.125873,0.130754,-0.00487459,0.268147,0.0967868,-0.209196,nan,0.556299,0.105008,nan,-0.224906,1,-0.827164
b,-0.0723468,0.0185219,0.0540969,0.18321,-0.192914,-0.0683546,0.128584,0.00331905,-0.138639,-0.0924469,0.0168058,-0.166208,-0.0418545,0.169508,nan,-0.52271,-0.10918,nan,0.142689,-0.827164,1
