parameter,value,CV,se_sa,rse_sa
k1_pop,0.112602413308933,,0.00468658313091732,4.16206277751732
beta_k1_Infection_Late,-0.0432112852179451,,0.0310977721098041,71.9667835681258
beta_k1_Infection_Uninfected,0.0319013757277101,,0.0314800976854448,98.6794361288332
k2_pop,0.00157928825982,,0.000294853925705594,18.6700511367823
beta_k2__1st_Booster_vaccine_type_Pfizer,0.691532582412211,,0.218973117707729,31.6649024611255
k3_pop,0.0147382464107379,,1.88165090340638e-05,0.127671288087262
beta_k3_Gender_Male,-0.0219302489841909,,0.00126724202754746,5.77851181015314
beta_k3_Infection_Late,0.697736609278155,,0.00122070160183202,0.174951634413292
beta_k3_Infection_Uninfected,1.59809195444242,,0.00139190076976988,0.0870976645555738
beta_k3__1st_Booster_vaccine_type_Pfizer,0.47960688484812,,0.00124836920722866,0.260290093129917
beta_k3_age_cat___60,0.29651070290723,,0.00121165911265338,0.408639250041669
k4_pop,1.53706541593372e-05,,1.65679430409456e-05,107.78944649458
A0_pop,3.37567439162504,,0.303690921281183,8.99645185076595
omega_k1,0.257173034756539,26.1484436184024,0.0296609617325673,11.5334649142539
omega_k2,0.691111845923466,78.2469068448765,0.115881566611811,16.7674114248425
omega_k3,0.00132119430519258,0.132119488175999,0.000389536902936893,29.4836952752467
omega_k4,1.48856183061935,285.812715588433,nan,nan
omega_A0,0.651794232663448,72.755698185035,0.0670496722910459,10.2869385660347
corr_k1_A0,-0.958313814521177,,nan,nan
a,0.290818490148617,,0.300229289122294,103.235969958055
b,0.313960047404663,,0.0320220055525569,10.1993886856833
