parameter,value,CV,se_sa,rse_sa
k1_pop,0.130066357569574,,0.0084514294841143,6.49778285641122
beta_k1__1st_Booster_vaccine_type_Pfizer,0.258721513239792,,0.0885563036657489,34.2284267577208
k2_pop,0.00137294039426741,,0.000333576858227531,24.2965287947205
beta_k2__1st_Booster_vaccine_type_Pfizer,0.689420024224667,,0.270193966437229,39.1914880541937
k3_pop,0.0226942589834054,,9.35694919874086e-06,0.0412304680473722
beta_k3_Infection_Late,0.490094567361937,,0.0014065737015087,0.287000467905604
beta_k3_Infection_Uninfected,1.17280864372789,,0.000390571906340345,0.0333022704453195
beta_k3__1st_Booster_vaccine_type_Pfizer,0.269142904005977,,0.000537985986639612,0.199888601420331
k4_pop,0.000662715979573538,,0.000137066347150846,20.6825173038756
beta_k4__1st_Booster_vaccine_type_Pfizer,0.208498048686945,,0.500805817793815,240.196884789921
A0_pop,1.83211862220326,,0.332563086309385,18.1518315615095
beta_A0__1st_Booster_vaccine_type_Pfizer,-0.84239019998364,,0.25813534862458,30.6432041386038
omega_k1,0.391966726995321,40.7515146303142,0.0576893840818227,14.71792887219
omega_k2,0.653268372557047,72.9578100757152,0.144462894522327,22.1138663053386
omega_k3,0.000353160670010766,0.0353160680960946,0.000217204786077944,61.503107373571
omega_k4,0.206817413955505,20.9048821822571,0.167148799049818,80.8194996025716
omega_A0,1.14360446566907,164.260292712197,0.187477404294253,16.3935530091314
corr_k1_A0,-0.964387584623451,,0.0388595674960964,4.02945538865158
b,0.271900579899347,,0.0210677069156665,7.74831260877245
