parameter,value,CV,se_sa,rse_sa
k1_pop,0.0422617843209794,,0.00224321122013964,5.3078951969997
beta_k1_Infection_Late,0.0110452808578285,,0.0337132230128778,305.227394819779
beta_k1_Infection_Uninfected,0.076888292459361,,0.036338680123693,47.261655788363
k2_pop,0.000382379180964587,,0.000126013572231825,32.95513419793
beta_k2__1st_Booster_vaccine_type_Pfizer,1.18552767712067,,0.297009102544444,25.0529033000562
k3_pop,0.00797869244765311,,0.000383172493555974,4.80244721888838
beta_k3_Infection_Late,0.520522532926213,,0.0577081369542091,11.0865780641219
beta_k3_Infection_Uninfected,0.824627691445261,,0.139261072783655,16.8877511910354
beta_k3__1st_Booster_vaccine_type_Pfizer,0.507737426570814,,0.102682884092107,20.2236192800702
k4_pop,3.45481258772601e-06,,2.31725905147422e-06,67.0733648391464
beta_k4__1st_Booster_vaccine_type_Pfizer,3.70312524813107,,0.637343034340777,17.2109499850818
A0_pop,19.3025185253531,,0.815965090905209,4.2272467700703
omega_k1,0.257056990354177,26.1362504252496,0.0345479015640153,13.4397829510159
omega_k2,0.486374634608412,51.6608098714042,0.0863473397704723,17.7532571862001
omega_k3,0.0646127892795816,6.46802845401692,0.0299495817025627,46.3524048976897
omega_k4,0.705524217071377,80.3143536844891,0.631938777151222,89.5701043083104
omega_A0,0.243132017026584,24.6769738095738,0.029035136793449,11.9421280457169
corr_k1_A0,-0.94724125795297,,nan,nan
a,5.71275972329179,,0.31457924882625,5.50660738528285
